university,domain,country
Quaid-e-Azam University,qau.edu.pk,Pakistan
National University of Sciences and Technology,nust.edu.pk,Pakistan
University of the Punjab,pu.edu.pk,Pakistan
University of Engineering and Technology,uet.edu.pk,Pakistan
Virtual University of Pakistan,vu.edu.pk,Pakistan
Allama Iqbal Open University,aiou.edu.pk,Pakistan
COMSATS University Islamabad,comsats.edu.pk,Pakistan
International Islamic University Islamabad,iiu.edu.pk,Pakistan
University of Karachi,uok.edu.pk,Pakistan
University of Peshawar,uop.edu.pk,Pakistan
Lahore University of Management Sciences,lums.edu.pk,Pakistan
Bahria University,bahria.edu.pk,Pakistan
Air University,au.edu.pk,Pakistan
FAST NUCES,nu.edu.pk,Pakistan
GIKI,giki.edu.pk,Pakistan
University of Agriculture Faisalabad,uaf.edu.pk,Pakistan
Dow University of Health Sciences,duhs.edu.pk,Pakistan
NED University of Engineering and Technology,neduet.edu.pk,Pakistan
University of Sindh,usindh.edu.pk,Pakistan
University of Sargodha,uos.edu.pk,Pakistan
university,domain,country
Minhaj University Lahore,minhajuniversity.edu.pk,Pakistan
University of Lahore,uol.edu.pk,Pakistan
University of Gujrat,uog.edu.pk,Pakistan
University of Sialkot,uskt.edu.pk,Pakistan
University of Okara,uo.edu.pk,Pakistan
University of Jhang,uj.edu.pk,Pakistan
University of Narowal,unar.edu.pk,Pakistan
University of Chakwal,uoc.edu.pk,Pakistan
University of Mianwali,umw.edu.pk,Pakistan
University of Layyah,ul.edu.pk,Pakistan
University of Bhakkar,ub.edu.pk,Pakistan
University of Hafizabad,uh.edu.pk,Pakistan
University of Vehari,uv.edu.pk,Pakistan
University of Kotli,uk.edu.pk,Pakistan
University of Buner,ubuner.edu.pk,Pakistan
University of Chitral,uoch.edu.pk,Pakistan
University of Malakand,uom.edu.pk,Pakistan
University of Swabi,uoswabi.edu.pk,Pakistan
University of Haripur,uoh.edu.pk,Pakistan
University of Lakki Marwat,ulm.edu.pk,Pakistan
University of Kohat,uok.edu.pk,Pakistan
University of Zhob,uz.edu.pk,Pakistan
University of Turbat,uot.edu.pk,Pakistan
University of Gwadar,uogw.edu.pk,Pakistan
University of Lasbela,luawms.edu.pk,Pakistan
University of Balochistan,ub.edu.pk,Pakistan
University of Loralai,uol.edu.pk,Pakistan
University of Quetta,uq.edu.pk,Pakistan
University of Sibi,usibi.edu.pk,Pakistan
University of Dera Murad Jamali,udmj.edu.pk,Pakistan
University of Sindh,usindh.edu.pk,Pakistan
University of Karachi,uok.edu.pk,Pakistan
University of Hyderabad,uoh.edu.pk,Pakistan
